value,footprint,quantity,references
100n,Capacitor_SMD:C_0805_2012Metric,8,"['C13', 'C7', 'C2', 'C14', 'C10', 'C11', 'C3', 'C15']"
2N7002,Package_TO_SOT_SMD:SOT-23,4,"['Q2', 'Q4', 'Q3', 'Q1']"
200,Resistor_SMD:R_0805_2012Metric,1,['R3']
10u,Capacitor_SMD:C_0805_2012Metric,5,"['C12', 'C9', 'C8', 'C4', 'C5']"
10k,Resistor_SMD:R_0805_2012Metric,4,"['R13', 'R12', 'R11', 'R10']"
100,Resistor_SMD:R_0805_2012Metric,4,"['R5', 'R8', 'R7', 'R6']"
ESP32-WROOM-32E,RF_Module:ESP32-WROOM-32E,1,['U3']
BOOT,Button_Switch_SMD:SW_SPST_PTS645Sx43SMTR92,1,['SW2']
LED910L,LED_THT:LED_D5.0mm,1,['D1']
5.1k,Resistor_SMD:R_0805_2012Metric,2,"['R15', 'R14']"
CH340C,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,1,['U4']
AMS1117-3.3,Package_TO_SOT_SMD:SOT-223-3_TabPin2,1,['U5']
100k,Resistor_SMD:R_0805_2012Metric,1,['R9']
ADS1115_Breakout,Package_SO:MSOP-10_3x3mm_P0.5mm,1,['U2']
OPA380AID,Package_SO:VSSOP-8_3x3mm_P0.65mm,1,['U1']
180,Resistor_SMD:R_0805_2012Metric,1,['R2']
FDG05,Package_TO_SOT_THT:TO-5-2_Window,1,['D5']
RESET,Button_Switch_SMD:SW_SPST_PTS645Sx43SMTR92,1,['SW1']
22u,Capacitor_SMD:C_0805_2012Metric,1,['C6']
150,Resistor_SMD:R_0805_2012Metric,1,['R1']
LED1085L,LED_THT:LED_D5.0mm,1,['D2']
LED1600L,LED_THT:LED_D5.0mm,1,['D4']
2.2p,Capacitor_SMD:C_0805_2012Metric,1,['C1']
ICL7660,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,1,['U6']
LED1300L,LED_THT:LED_D5.0mm,1,['D3']
1k,Resistor_SMD:R_0805_2012Metric,1,['R16']
PWR,LED_SMD:LED_0805_2012Metric,1,['D6']
USB-C,Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,['J3']
220,Resistor_SMD:R_0805_2012Metric,1,['R4']
